Congress,YearRange,SessionBegan,SessionEnded,LastName,FirstMiddleName,,StateOrTerritory,Party,Service,Group
56,(1899-1901),1899,1901,WILCOX, Robert W. 1,https://history.house.gov/People/Detail/23764#,HI,Home Rule,House,APA
57,(1901-1903),1901,1903,WILCOX, Robert W.,https://history.house.gov/People/Detail/23764#,HI,Home Rule,House,APA
58,(1903-1905),1903,1905,KALANIANAOLE, Jonah Kuhio,https://history.house.gov/People/Detail/16079#,HI,Republican,House,APA
59,(1905-1907),1905,1907,KALANIANAOLE, Jonah Kuhio,https://history.house.gov/People/Detail/16079#,HI,Republican,House,APA
60,(1907-1909),1907,1909,KALANIANAOLE, Jonah Kuhio,https://history.house.gov/People/Detail/16079#,HI,Republican,House,APA
60,(1907-1909),1907,1909,LEGARDA, Benito,https://history.house.gov/People/Detail/16863#,PI,Progresista,House,APA
60,(1907-1909),1907,1909,OCAMPO, Pablo,https://history.house.gov/People/Detail/19093#,PI,Nacionalista,House,APA
61,(1909-1911),1909,1911,KALANIANAOLE, Jonah Kuhio,https://history.house.gov/People/Detail/16079#,HI,Republican,House,APA
61,(1909-1911),1909,1911,LEGARDA, Benito,https://history.house.gov/People/Detail/16863#,PI,Progresista,House,APA
61,(1909-1911),1909,1911,OCAMPO, Pablo 2,https://history.house.gov/People/Detail/19093#,PI,Nacionalista,House,APA
61,(1909-1911),1909,1911,QUEZON, Manuel L.,https://history.house.gov/People/Detail/20053#,PI,Nacionalista,House,APA
62,(1911-1913),1911,1913,KALANIANAOLE, Jonah Kuhio,https://history.house.gov/People/Detail/16079#,HI,Republican,House,APA
62,(1911-1913),1911,1913,LEGARDA, Benito,https://history.house.gov/People/Detail/16863#,PI,Progresista,House,APA
62,(1911-1913),1911,1913,QUEZON, Manuel L.,https://history.house.gov/People/Detail/20053#,PI,Nacionalista,House,APA
63,(1913-1915),1913,1915,EARNSHAW, Manuel,https://history.house.gov/People/Detail/12621#,PI,Independent,House,APA
63,(1913-1915),1913,1915,KALANIANAOLE, Jonah Kuhio,https://history.house.gov/People/Detail/16079#,HI,Republican,House,APA
63,(1913-1915),1913,1915,QUEZON, Manuel L.,https://history.house.gov/People/Detail/20053#,PI,Nacionalista,House,APA
64,(1915-1917),1915,1917,EARNSHAW, Manuel,https://history.house.gov/People/Detail/12621#,PI,Independent,House,APA
64,(1915-1917),1915,1917,KALANIANAOLE, Jonah Kuhio,https://history.house.gov/People/Detail/16079#,HI,Republican,House,APA
64,(1915-1917),1915,1917,QUEZON, Manuel L. 3,https://history.house.gov/People/Detail/20053#,PI,Nacionalista,House,APA
65,(1917-1919),1917,1919,DE VEYRA, Jaime C.,https://history.house.gov/People/Detail/12170#,PI,Nacionalista,House,APA
65,(1917-1919),1917,1919,KALANIANAOLE, Jonah Kuhio,https://history.house.gov/People/Detail/16079#,HI,Republican,House,APA
65,(1917-1919),1917,1919,YANGCO, Teodoro R.,https://history.house.gov/People/Detail/21037#,PI,Nacionalista,House,APA
66,(1919-1921),1919,1921,DE VEYRA, Jaime C.,https://history.house.gov/People/Detail/12170#,PI,Nacionalista,House,APA
66,(1919-1921),1919,1921,GABALDON, Isauro 4,https://history.house.gov/People/Detail/13567#,PI,Nacionalista,House,APA
66,(1919-1921),1919,1921,KALANIANAOLE, Jonah Kuhio,https://history.house.gov/People/Detail/16079#,HI,Republican,House,APA
66,(1919-1921),1919,1921,YANGCO, Teodoro R.,https://history.house.gov/People/Detail/21037#,PI,Nacionalista,House,APA
67,(1921-1923),1921,1923,DE VEYRA, Jaime C.,https://history.house.gov/People/Detail/12170#,PI,Nacionalista,House,APA
